"year","total.pop","property.sum","violent.nr.sum","totalcrime.sum","st.le.sum","cnty.le.sum","prosecution.sum","publicdefense.sum","probationdept.sum","st.le.sum_per.crime","cnty.le.sum_per.crime","prosecution.sum_per.crime","publicdefense.sum_per.crime","probationdept.sum_per.crime"
2003,35253159,1209030,194673,1403703,114945,103461,9480,NA,19577,818.869803655047,737.05762543786,67.5356539096946,NA,139.46682453482
2004,35574576,1223275,187834,1411109,112826,101465,9166,NA,NA,799.555526894095,719.044382822305,64.9560026900828,NA,NA
2005,35827943,1195381,180248,1375629,113604,102365,9297,NA,18743,825.833127972731,744.132320560267,67.5836290162537,NA,136.250398908427
2006,36021202,1156010,184915,1340925,116128,104986,9619,NA,19566,866.029047113,782.937151593117,71.73406417212,NA,145.914201017954
2007,36250311,1112366,182446,1294812,121305,109182,10179,NA,19882,936.854153344269,843.226661476724,78.6137292518142,NA,153.551249138871
2008,36604337,1081272,176327,1257599,123680,111944,10429,NA,20727,983.461341810863,890.140656918461,82.9278649235567,NA,164.814062352149
2009,36961229,1006788,165881,1172669,122042,109835,10199,NA,21372,1040.71993034693,936.624060156788,86.9725387129702,NA,182.250916499029
2010,37253956,981523,155632,1137155,118981,106785,9852,NA,19415,1046.3041537873,939.054042764619,86.6372658080912,NA,170.733101468138
2011,37672654,974666,147635,1122301,116794,105369,9479,NA,18585,1040.66556119971,938.865776649936,84.4604076802925,NA,165.597286289507
2012,38019006,1048764,152801,1201565,117238,105367,9367,NA,18810,975.710843774577,876.914690424571,77.956664849592,NA,156.545838136098
2013,38347383,1018333,144175,1162508,117340,105741,9429,3926,19103,1009.36939788801,909.593740430173,81.1091192490718,33.7718106025937,164.325750876553
2014,38701278,946682,142028,1088710,118393,106875,9639,3977,19169,1087.46130741887,981.666375802555,88.5359737671189,36.5294706579346,176.0707626457
2015,39032444,1023828,153795,1177623,118309,106951,9776,4006,19348,1004.6424025346,908.193878686133,83.0146829672994,34.0176779835312,164.297062812122
2016,39296476,1001380,161006,1162386,119148,107648,9918,4101,19260,1025.02955128503,926.095118144919,85.3244963377054,35.2808791571819,165.693668024219
2017,39536653,986769,163829,1150598,119648,107973,10199,4200,19384,1039.87665544352,938.407680180219,88.6408632728373,36.5027576964326,168.468917901821
